business_id,name,normalized_name,rating,review_count,rating_band,rating_reliability,price,price_level,price_tier,value_score,hidden_gem,shop_type,popularity_band,categories,address,address1,city,state,zip_code,latitude,longitude,phone,yelp_url,image_url
'4-toMvtZ8lUd26BAKRLi4Q,DUA DC Coffee,dua dc coffee,4.6,413,4.5-5.0,50+ reviews,$$,2,Moderate,77.87,No,Chain,High: 200-499 reviews,"Coffee & Tea, Coffee & Tea","923 15th St NW, Washington, DC 20005",923 15th St NW,"Washington, DC",DC,20005,38.90191,-77.03328,(202) 347-4404,https://www.yelp.com/biz/dua-dc-coffee-washington-3?adjust_creative=47RyEb0sp6jrPw4V0oZejg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=47RyEb0sp6jrPw4V0oZejg,https://s3-media0.fl.yelpcdn.com/bphoto/fczO2OoFA5afJNQhQRs5wg/o.jpg
'WbBl1J631BmRabGIHrY1rQ,Cotti Coffee,cotti coffee,4.5,10,4.5-5.0,Under 50 reviews,Unknown,,Unknown,,No,Chain,Low: under 50 reviews,Coffee & Tea,"900 M St NW, Unit C1-C2, Washington, DC 20036",900 M St NW,"Washington, DC",DC,20036,38.90553426,-77.02418763,,https://www.yelp.com/biz/cotti-coffee-washington-2?adjust_creative=47RyEb0sp6jrPw4V0oZejg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=47RyEb0sp6jrPw4V0oZejg,https://s3-media0.fl.yelpcdn.com/bphoto/eRPij8HijPgws2We3lha0w/o.jpg
'PXlhq0HAuIRs3BIbJEx7Jw,Warka Coffee,warka coffee,4.7,28,4.5-5.0,Under 50 reviews,Unknown,,Unknown,,Yes,Independent / Local,Low: under 50 reviews,"Coffee & Tea, Breakfast & Brunch, Juice Bars & Smoothies","500 New Jersey Ave NW, Washington, DC 20001",500 New Jersey Ave NW,"Washington, DC",DC,20001,38.8964652,-77.0119596,(443) 758-2038,https://www.yelp.com/biz/warka-coffee-washington?adjust_creative=47RyEb0sp6jrPw4V0oZejg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=47RyEb0sp6jrPw4V0oZejg,https://s3-media0.fl.yelpcdn.com/bphoto/s-IJYoBk2BUghBY2toCbzQ/o.jpg
'1bD3CCtNbZVxbBy_4fhRBQ,Grafika Coffee,grafika coffee,5,1,4.5-5.0,Under 50 reviews,Unknown,,Unknown,,No,Independent / Local,Low: under 50 reviews,"Coffee & Tea, Pop-up Shops","Washington, DC 20036",,"Washington, DC",DC,20036,38.90751525,-77.00749431,,https://www.yelp.com/biz/grafika-coffee-washington?adjust_creative=47RyEb0sp6jrPw4V0oZejg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=47RyEb0sp6jrPw4V0oZejg,https://s3-media0.fl.yelpcdn.com/bphoto/Gl2V1emU9m9XHOOo6nfoTA/o.jpg
'l4ukcYAlP-G72ESJvGikLg,Yellow,yellow,4.4,209,4.0-4.4,50+ reviews,$$,2,Moderate,73.28,No,Independent / Local,High: 200-499 reviews,"Coffee & Tea, Breakfast & Brunch, Desserts","417 Morse St NE, Washington, DC 20002",417 Morse St NE,"Washington, DC",DC,20002,38.9074553,-76.9993487,,https://www.yelp.com/biz/yellow-washington?adjust_creative=47RyEb0sp6jrPw4V0oZejg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=47RyEb0sp6jrPw4V0oZejg,https://s3-media0.fl.yelpcdn.com/bphoto/OAOmsJX_oAc4ik01lW3eBw/o.jpg
'a_rDOhA5ySU5xaf8MbY0JA,Dolcezza,dolcezza,4.2,650,4.0-4.4,50+ reviews,$$,2,Moderate,72.39,No,Chain,Very high: 500+ reviews,"Coffee & Tea, Gelato","904 Palmer Aly Nw, Washington, DC 20001",904 Palmer Aly Nw,"Washington, DC",DC,20001,38.900264,-77.024192,(202) 733-2879,https://www.yelp.com/biz/dolcezza-washington-11?adjust_creative=47RyEb0sp6jrPw4V0oZejg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=47RyEb0sp6jrPw4V0oZejg,https://s3-media0.fl.yelpcdn.com/bphoto/vshvrUauC9T65vWyDmrVTQ/o.jpg
'NdXX11-J_jWwD7n72LzagQ,Swings Coffee,swings coffee,4.4,146,4.0-4.4,50+ reviews,$$,2,Moderate,72.56,No,Chain,Medium: 50-199 reviews,Coffee & Tea,"640 14th St NW, Washington, DC 20005",640 14th St NW,"Washington, DC",DC,20005,38.8977603,-77.0320949,(202) 652-0188,https://www.yelp.com/biz/swings-coffee-washington?adjust_creative=47RyEb0sp6jrPw4V0oZejg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=47RyEb0sp6jrPw4V0oZejg,https://s3-media0.fl.yelpcdn.com/bphoto/AavHc-LU2JU5uifkFt1bQQ/o.jpg
'AlBPgkqSu5VNYgccV0oBdg,Nino's Bakery,ninos bakery,4.8,215,4.5-5.0,50+ reviews,$$,2,Moderate,79.74,No,Independent / Local,High: 200-499 reviews,"Bakeries, Coffee & Tea, Macarons","1310 L St NW, Ste 100, Washington, DC 20005",1310 L St NW,"Washington, DC",DC,20005,38.903555,-77.030344,(202) 439-9617,https://www.yelp.com/biz/ninos-bakery-washington?adjust_creative=47RyEb0sp6jrPw4V0oZejg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=47RyEb0sp6jrPw4V0oZejg,https://s3-media0.fl.yelpcdn.com/bphoto/wAzisdN2sEJHKmJL5t65uw/o.jpg
'iIbBFqDgEdFH_V1HodEt3Q,Allelo Coffee,allelo coffee,4.9,8,4.5-5.0,Under 50 reviews,Unknown,,Unknown,,No,Independent / Local,Low: under 50 reviews,Coffee & Tea,"1450 P St NW, Fl 2, Washington, DC 20005",1450 P St NW,"Washington, DC",DC,20005,38.90942927,-77.0339429,,https://www.yelp.com/biz/allelo-coffee-washington-2?adjust_creative=47RyEb0sp6jrPw4V0oZejg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=47RyEb0sp6jrPw4V0oZejg,https://s3-media0.fl.yelpcdn.com/bphoto/asA5lIQRTaKCHXR-DXX24g/o.jpg
'aIAtL-tHLx1_557CSONXiw,Good Doughnuts & Cafe - Penn Quarter,good doughnuts and cafe penn quarter,4.5,65,4.5-5.0,50+ reviews,Unknown,,Unknown,,Yes,Independent / Local,Medium: 50-199 reviews,"Cafes, Donuts, Coffee & Tea","555 Pennsylvania Ave NW, Washington, DC 20001",555 Pennsylvania Ave NW,"Washington, DC",DC,20001,38.89288012,-77.01889053,(202) 516-4797,https://www.yelp.com/biz/good-doughnuts-and-cafe-penn-quarter-washington?adjust_creative=47RyEb0sp6jrPw4V0oZejg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=47RyEb0sp6jrPw4V0oZejg,https://s3-media0.fl.yelpcdn.com/bphoto/51rb6Zd8NCDcAXzFNNvd2A/o.jpg
